[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /health                   --> main.main.func1 (3 handlers)
[GIN-debug] POST   /v1/credit                --> github.com/scoobiii/realtime-credit-validator/src/gateway/handlers.(*GatewayHandler).AddCredit-fm (5 handlers)
2026/05/17 13:12:35 Gateway listening on :8080
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://github.com/gin-gonic/gin/blob/master/docs/doc.md#dont-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2026/05/17 - 13:12:40 | 500 |   8.36ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |  10.12ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   7.56ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   8.19ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   9.28ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   4.91ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   6.01ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   4.66ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   5.54ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   5.24ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   9.47ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |    9.4ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |  10.36ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |  10.11ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |  10.37ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |    6.2ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |    7.3ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   5.03ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   5.33ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:40 | 200 |   5.02ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |    7.2ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |    8.3ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |    9.6ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |    9.4ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |  10.07ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |   5.23ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |   6.36ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |   5.28ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |   5.89ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |      7ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |    7.4ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |  10.18ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |  10.53ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |   8.91ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |   9.11ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |   6.01ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |   6.78ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |   4.82ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |   5.46ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |   5.92ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |   8.44ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |   8.86ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |   8.85ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |   7.92ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/17 - 13:12:41 | 200 |   8.58ms |       127.0.0.1 | POST     "/v1/credit"
