[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /health                   --> main.main.func1 (3 handlers)
[GIN-debug] POST   /v1/credit                --> github.com/scoobiii/realtime-credit-validator/src/gateway/handlers.(*GatewayHandler).AddCredit-fm (5 handlers)
2026/05/19 00:36:26 Gateway listening on :8080
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://github.com/gin-gonic/gin/blob/master/docs/doc.md#dont-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2026/05/19 - 00:37:17 | 200 |   5.44ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   6.14ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   5.08ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |      7ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   7.78ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   9.34ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   9.28ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   4.83ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   5.93ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   5.59ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   6.33ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   6.33ms |       127.0.0.1 | POST     "/v1/credit"
[GIN] 2026/05/19 - 00:37:17 | 200 |   5.36ms |       127.0.0.1 | POST     "/v1/credit"
